,tweet_id,favorite_count,retweet_count
150,838561493054533637,10666,1280
151,818307523543449600,0,7901
152,746369468511756288,6008,1578
153,690607260360429569,289,17
154,820494788566847489,0,552
155,668655139528511488,489,202
156,690374419777196032,3147,811
157,757725642876129280,4441,1180
158,766793450729734144,4939,1330
159,767884188863397888,4657,1348
160,770772759874076672,5084,1388
161,775729183532220416,12784,4506
162,776088319444877312,1807,147
163,778990705243029504,19634,7037
164,780601303617732608,11923,3300
165,780858289093574656,7092,1967
166,780931614150983680,21300,7158
167,783466772167098368,8343,2196
168,811647686436880384,5541,725
169,829141528400556032,23875,7129
170,689255633275777024,2482,1041
171,852189679701164033,10962,1501
172,862722525377298433,15939,3230
173,688179443353796608,2062,564
174,797236660651966464,19734,6483
175,868552278524837888,9313,1848
176,886366144734445568,19281,2783
177,805823200554876929,0,7910
178,876537666061221889,21784,4152
179,803321560782307329,0,5257
180,817423860136083457,33288,14388
181,671485057807351808,714,214
182,813130366689148928,4439,438
183,666396247373291520,154,73
184,667171260800061440,203,77
185,670838202509447168,1036,639
186,671390180817915904,1343,689
187,671866342182637568,1054,452
188,667192066997374976,354,88
189,667211855547486208,448,220
190,668297328638447616,583,273
191,670676092097810432,229,37
192,670789397210615808,614,221
193,733109485275860992,51585,16418
194,889638837579907072,24621,3934
195,674632714662858753,1412,537
196,676098748976615425,2834,1330
197,676191832485810177,2155,975
198,668645506898350081,810,487
199,670833812859932673,407,113
200,666362758909284353,696,500
201,836260088725786625,20783,4164
202,670815497391357952,2948,1411
203,717047459982213120,6058,1838
204,670055038660800512,621,297
205,771500966810099713,8122,2554
206,748932637671223296,5644,2176
207,827600520311402496,7326,915
208,728015554473250816,3981,1054
209,675870721063669760,1549,530
210,674764817387900928,745,218
211,674788554665512960,761,194
212,737800304142471168,9672,3328
213,733828123016450049,3454,751
214,676440007570247681,1642,621
215,670823764196741120,724,171
216,666781792255496192,355,175
217,666996132027977728,224,81
218,666649482315059201,1032,567
219,667502640335572993,505,201
220,672482722825261057,1054,550
221,673355879178194945,1412,531
222,673612854080196609,1500,668
223,674754018082705410,1283,410
224,676942428000112642,1969,707
225,677673981332312066,3170,1423
226,666739327293083650,218,60
227,667152164079423490,44165,15402
228,675109292475830276,2642,1054
229,678767140346941444,3381,1295
230,740373189193256964,33861,12838
231,761292947749015552,4388,1058
232,821765923262631936,8262,1623
233,670428280563085312,1296,568
234,882627270321602560,25598,5332
235,685681090388975616,1973,117
236,747648653817413632,12510,5638
237,668627278264475648,290,100
238,670755717859713024,408,97
239,670786190031921152,557,183
240,670995969505435648,1032,265
241,671163268581498880,1529,1018
242,674800520222154752,2838,796
243,675853064436391936,2545,1204
244,678424312106393600,5238,2422
245,666104133288665088,13213,5773
246,666786068205871104,692,439
247,793226087023144960,9707,2849
248,817536400337801217,11616,2897
249,678798276842360832,3322,1099
250,677565715327688705,1247,438
251,708479650088034305,2455,651
252,668955713004314625,255,65
253,673656262056419329,679,219
254,675003128568291329,1469,431
255,676237365392908289,1147,267
256,716439118184652801,2298,201
257,728986383096946689,3028,784
258,735137028879360001,3022,936
259,744334592493166593,6572,2026
260,667393430834667520,178,51
261,689877686181715968,2944,1117
262,707014260413456384,2240,574
263,745057283344719872,7026,2166
264,676590572941893632,873,116
265,738156290900254721,2416,618
266,832682457690300417,11610,2826
267,732585889486888962,3529,751
268,667453023279554560,292,80
269,789314372632018944,8550,2262
270,714957620017307648,4002,1352
271,671159727754231808,336,74
272,688789766343622656,2148,635
273,744709971296780288,5428,1506
274,750101899009982464,2963,816
275,885528943205470208,32814,5623
